Pérdidas,CP UNIDADES,Costo M$,Dda. SING,Gen. SING,ANDES SOLAR,ANG1,ANG2,CAVA,CCR1 (Carbón),CHAP,CTA,CTH,CTM1 (Carbón),CTM2 (Carbón),EÓLICA VALLE DE LOS VIENTOS,LA HUAYCA II,MARIA ELENA FV,MHAH,MHT2,NTO1 (Carbón),NTO2 (Carbón),PAM,PARQUE SOLAR FINIS TERRAE,PAS2,PAS3,SOLAR JAMA 1,SOLAR JAMA 2,TG3 (Diesel),TGTAR,U12 (Carbón),U13 (Carbón),U14 (Carbón),U15 (Carbón),U16-TG + U16-TV,UG1 (HFO),UG2 (HFO),UG3 (HFO),UG4 (HFO),UG5 (HFO),UG6 (HFO),RES_GIRO_UTIL,RES_PRONTA,RES_DETENIDA_CP,RES.PRIMARIA,GEN. EN PRUEBAS,GENERACION AES GENER,GENERACION ANGAMOS,GENERACION CELTA,GENERACION ENGIE,GENERACION ENORCHILE,GENERACION EQUIPOS DE GENERACION,GENERACION GASATACAMA,GENERACION HORNITOS,TG3 (Gas Natural),AGB,CTM3-TG + CTM3-TV,GMAR,INACAL,MIMB (Diesel + Fuel Oil),TG2,ZOFRI_13,ZOFRI_2-5,ZOFRI_6,ZOFRI_7-12,M1AR,M2AR,SUIQ,TG1B + 0.5 TV1C (Diesel),TG2A + 0.5 TV2C (Diesel),TG2A + TG2B + TV2C (Diesel),TG2B + 0.5 TV2C (Diesel),TG1,CTTAR (Carbón),ZOFRI_1,CCR2 (Carbón),KELAR TG1 (Gas Natural),PARQUE SOLAR PAMPA CAMARONES,TG1A + 0.5 TV1C (Diesel),KELAR TG2 (Gas Natural)
40,218,43.92,1871.1,2129.1,0,267.5,271.6,1.8,247,1,164.6,165.1,0,121.5,3.8,0,0,1,1,135.3,131.9,17,0,0,0,0,0,0,0,50,50,122,25,124,0,0,0,0,0,0,142.5,698.5,632.2,121.2,0,267.2,539.1,0,493.5,0,0,0,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,218,42.82,1894.4,2153.4,0,267.5,271.6,1.8,247,1,164.6,165.1,0,127.3,4.8,0,0,1,1,135.3,131.9,17,0,0,0,0,0,0,0,50,50,122,42.5,124,0,0,0,0,0,0,136.7,704.3,632.2,121.2,0,267.2,539.1,0,516.8,0,0,0,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,218,43.16,1910.3,2170.3,0,267.5,271.6,1.8,247,1,164.6,165.1,0,125.9,5.6,0,0,1,1,135.3,131.9,17,0,0,0,0,0,0,0,50,50,122,60,124,0,0,0,0,0,0,138.1,702.9,632.2,121.2,0,267.2,539.1,0,532.9,0,0,0,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,218,43.47,1922.7,2182.7,0,267.5,271.6,1.8,247,1,164.6,165.1,0,131,6.5,0,0,1,1,135.3,131.9,17,0,0,0,0,0,0,0,50,50,122,60,130.4,0,0,0,0,0,0,133,714.4,632.2,121.2,0,267.2,539.1,0,544.4,0,0,0,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,218,44.57,1962.3,2225.3,0,267.5,271.6,1.8,247,1,164.6,165.1,0,131,7.9,0,0,1,1,135.3,131.9,17,0,0,0,0,0,0,0,50,50,122,60,171.6,0,0,0,0,0,0,133,755.6,632.2,121.2,0,267.2,539.1,0,585.6,0,0,0,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,213,44.1,1944.4,2206.4,0.3,267.5,271.6,1.8,238,1,164.6,165.1,0,90,9.4,0,0.7,1,1,135.3,131.9,17,0.5,0,0,0.4,0.3,0,0,50,0,75,125,124,6.7,5.3,6.7,6.7,0,0,200,732.6,632.2,115.2,0,267.5,539.1,0,479.6,1.4,0,0,165.1,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,208,41.56,1912.2,2160.2,8,267.5,271.6,1.8,150,1,164.6,126.1,0,90,11.2,3.8,20.5,1,1,135.3,131.9,17,32.4,2.4,5.6,10.2,7.4,0,0,0,0,75,125,134.9,6.7,6.6,6.7,6.7,0,8.9,200,634.8,632.2,115.2,0,275.2,539.1,0,460.3,46,0,0,126.1,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,206,35.94,1925.4,2170.4,15.4,267.5,271.6,1.8,150,1,161.1,100,0,90,11.7,12.2,43.3,1,1,135.3,131.9,17,80.6,6,13,20.6,14.9,0,0,0,0,75,125,124,0,0,0,0,0,0,229.6,571.4,632.2,115.2,0,282.6,539.1,0,419.5,97.8,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,206,33.5,1942.5,2186.5,18.1,267.5,271.6,1.8,150,1,101.1,100,0,90,9.6,18.7,54.6,1,1,131.9,131.9,17,107.5,6.5,13.5,24.9,18,0,0,0,0,75,75,124,0,0,0,0,0,0,334,458,632.2,125.2,0,281.9,539.1,0,370.3,117.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,206,33.28,1939.1,2183.1,18.4,267.5,271.6,1.8,150,1,100,100,0,90,5.3,22.8,55.1,1,1,122.3,131.9,17,113.3,6.5,13.4,25.4,18.4,0,0,0,0,75,75,124,0,0,0,0,0,0,344.7,447.3,632.2,125.2,0,272.6,539.1,0,370.4,118.7,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
